GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
1400000US42101000803,42101000803,"Census Tract 8.03, Philadelphia County, Pennsylvania",3532,335,536,233,119,101,2877,343,1426,295,156,146,48,77,1222,264,1766,298,310,165,41,51,1415,302,44,71,0,10,0,10,44,71,296,114,70,77,30,40,196,95
1400000US42101000804,42101000804,"Census Tract 8.04, Philadelphia County, Pennsylvania",3746,456,209,124,142,132,3395,421,1375,313,79,63,60,82,1236,294,1339,301,119,90,45,55,1175,253,95,89,0,10,37,51,58,68,937,317,11,18,0,10,926,319
1400000US42101000901,42101000901,"Census Tract 9.01, Philadelphia County, Pennsylvania",2081,202,471,136,99,52,1511,214,759,164,157,88,48,30,554,155,890,214,203,80,19,25,668,198,0,10,0,10,0,10,0,10,432,142,111,76,32,29,289,117
1400000US42101000902,42101000902,"Census Tract 9.02, Philadelphia County, Pennsylvania",2043,222,463,139,301,179,1279,142,773,198,127,85,151,122,495,127,647,132,72,51,14,17,561,123,49,60,4,6,37,59,8,13,574,148,260,91,99,81,215,86
1400000US42101001001,42101001001,"Census Tract 10.01, Philadelphia County, Pennsylvania",2626,290,186,108,61,40,2379,303,1285,230,107,74,44,33,1134,222,1039,198,79,86,17,20,943,185,25,24,0,10,0,10,25,24,277,103,0,10,0,10,277,103
1400000US42101001002,42101001002,"Census Tract 10.02, Philadelphia County, Pennsylvania",3541,310,298,242,50,57,3193,288,1628,235,69,52,23,31,1536,217,1478,321,229,237,8,18,1241,268,141,97,0,10,4,9,137,96,294,103,0,10,15,18,279,102
1400000US42101001101,42101001101,"Census Tract 11.01, Philadelphia County, Pennsylvania",2967,364,373,139,191,103,2403,340,1254,308,251,117,99,79,904,232,1461,285,114,76,78,60,1269,292,0,10,0,10,0,10,0,10,252,145,8,19,14,22,230,142
1400000US42101001102,42101001102,"Census Tract 11.02, Philadelphia County, Pennsylvania",2542,266,526,177,171,93,1845,253,1113,196,215,155,160,93,738,163,1153,204,213,86,11,13,929,207,17,19,9,14,0,10,8,13,259,108,89,67,0,10,170,78
1400000US42101001201,42101001201,"Census Tract 12.01, Philadelphia County, Pennsylvania",4167,316,245,102,65,43,3857,327,1517,248,91,54,20,22,1406,246,2023,228,117,82,45,36,1861,229,44,49,0,10,0,10,44,49,583,185,37,60,0,10,546,179
1400000US42101001202,42101001202,"Census Tract 12.02, Philadelphia County, Pennsylvania",5036,504,562,214,240,120,4234,420,2186,392,72,56,65,47,2049,383,2240,408,368,153,175,107,1697,332,106,84,0,14,0,14,106,84,504,201,122,145,0,14,382,139
1400000US42101001300,42101001300,"Census Tract 13, Philadelphia County, Pennsylvania",5890,524,570,215,34,40,5286,552,3249,498,368,206,15,27,2866,492,2170,316,180,118,19,29,1971,306,37,49,7,16,0,14,30,48,434,164,15,25,0,14,419,161
1400000US42101001400,42101001400,"Census Tract 14, Philadelphia County, Pennsylvania",4482,594,541,173,204,93,3737,572,2243,359,219,138,78,67,1946,314,1646,323,281,126,86,56,1279,293,57,60,0,10,0,10,57,60,536,196,41,62,40,47,455,171
1400000US42101001500,42101001500,"Census Tract 15, Philadelphia County, Pennsylvania",2809,230,469,164,85,62,2255,258,1203,217,262,146,42,44,899,201,926,191,134,66,43,40,749,174,121,80,14,33,0,10,107,73,559,168,59,49,0,10,500,156
1400000US42101001600,42101001600,"Census Tract 16, Philadelphia County, Pennsylvania",2017,186,136,74,47,36,1834,198,1107,181,74,51,20,23,1013,190,693,170,33,40,27,26,633,172,55,38,8,12,0,10,47,35,162,62,21,31,0,10,141,59
1400000US42101001700,42101001700,"Census Tract 17, Philadelphia County, Pennsylvania",2813,262,98,64,55,41,2660,270,1694,239,55,54,32,31,1607,240,928,150,43,32,23,26,862,146,15,24,0,10,0,10,15,24,176,95,0,10,0,10,176,95
1400000US42101001800,42101001800,"Census Tract 18, Philadelphia County, Pennsylvania",3206,300,243,114,111,91,2852,345,1771,254,174,101,70,60,1527,276,1073,156,57,35,32,26,984,161,84,72,0,10,0,10,84,72,278,110,12,19,9,13,257,109
1400000US42101001900,42101001900,"Census Tract 19, Philadelphia County, Pennsylvania",2827,260,237,97,80,67,2510,270,1702,203,160,79,44,46,1498,209,921,237,67,46,36,31,818,231,0,10,0,10,0,10,0,10,204,93,10,15,0,10,194,90
1400000US42101002000,42101002000,"Census Tract 20, Philadelphia County, Pennsylvania",2111,290,294,120,301,152,1516,232,1563,245,231,108,208,132,1124,203,477,122,63,42,93,78,321,77,3,5,0,10,0,10,3,5,68,40,0,10,0,10,68,40
1400000US42101002100,42101002100,"Census Tract 21, Philadelphia County, Pennsylvania",2289,257,459,213,274,143,1556,279,1811,253,347,207,252,144,1212,262,391,123,112,86,22,17,257,80,3,6,0,10,0,10,3,6,84,67,0,10,0,10,84,67
1400000US42101002200,42101002200,"Census Tract 22, Philadelphia County, Pennsylvania",2219,287,685,188,218,134,1316,271,1453,259,585,161,182,125,686,222,617,170,27,32,36,34,554,171,7,13,7,13,0,10,0,10,142,96,66,67,0,10,76,68
1400000US42101002300,42101002300,"Census Tract 23, Philadelphia County, Pennsylvania",2813,280,217,104,495,297,2101,251,1348,189,77,41,225,154,1046,187,786,194,46,47,67,48,673,165,57,43,9,15,8,13,40,30,622,215,85,59,195,198,342,98
1400000US42101002400,42101002400,"Census Tract 24, Philadelphia County, Pennsylvania",5163,568,426,233,491,216,4246,612,2713,318,345,222,272,138,2096,352,1116,247,68,59,42,49,1006,240,226,154,13,21,0,14,213,151,1108,419,0,14,177,129,931,397
1400000US42101002500,42101002500,"Census Tract 25, Philadelphia County, Pennsylvania",4013,346,620,298,476,243,2917,348,2502,309,442,255,226,150,1834,310,996,229,118,128,132,107,746,165,250,177,32,37,78,109,140,140,265,155,28,36,40,44,197,137
1400000US42101002701,42101002701,"Census Tract 27.01, Philadelphia County, Pennsylvania",4372,862,1093,654,747,479,2532,641,2221,544,539,398,356,237,1326,420,785,242,87,56,71,54,627,224,93,68,0,10,7,11,86,67,1273,592,467,462,313,291,493,280
1400000US42101002702,42101002702,"Census Tract 27.02, Philadelphia County, Pennsylvania",3991,307,273,122,528,196,3190,313,3161,306,189,81,460,197,2512,269,678,179,63,62,59,37,556,182,29,32,0,10,0,10,29,32,123,81,21,19,9,14,93,69
1400000US42101002801,42101002801,"Census Tract 28.01, Philadelphia County, Pennsylvania",4386,627,1041,475,680,319,2665,547,1858,435,609,346,319,181,930,231,487,175,122,128,24,23,341,104,78,53,0,10,0,10,78,53,1963,588,310,148,337,202,1316,493
1400000US42101002802,42101002802,"Census Tract 28.02, Philadelphia County, Pennsylvania",5803,574,365,158,862,399,4576,675,3440,427,206,132,564,331,2670,492,719,234,30,33,17,21,672,232,37,40,0,14,0,14,37,40,1607,571,129,92,281,162,1197,544
1400000US42101002900,42101002900,"Census Tract 29, Philadelphia County, Pennsylvania",4533,539,493,237,93,55,3947,586,2694,437,318,188,93,55,2283,440,888,264,96,78,0,10,792,242,199,265,0,10,0,10,199,265,752,367,79,61,0,10,673,371
1400000US42101003001,42101003001,"Census Tract 30.01, Philadelphia County, Pennsylvania",4407,510,1070,422,390,170,2947,424,1986,341,530,267,143,86,1313,229,507,149,66,49,19,24,422,123,40,43,10,16,0,10,30,40,1874,333,464,233,228,136,1182,302
1400000US42101003002,42101003002,"Census Tract 30.02, Philadelphia County, Pennsylvania",3122,465,677,199,637,317,1808,402,2294,487,520,191,440,303,1334,365,614,182,128,74,92,75,394,161,29,36,0,10,8,13,21,34,185,96,29,34,97,90,59,50
1400000US42101003100,42101003100,"Census Tract 31, Philadelphia County, Pennsylvania",4193,539,1191,349,589,243,2413,529,3330,522,1056,331,419,214,1855,485,638,164,89,58,150,95,399,119,68,62,1,2,0,10,67,62,157,100,45,71,20,25,92,69
1400000US42101003200,42101003200,"Census Tract 32, Philadelphia County, Pennsylvania",5079,799,2032,686,806,355,2241,455,3941,729,1563,506,621,346,1757,426,696,248,183,136,185,129,328,160,14,23,0,14,0,14,14,23,428,395,286,385,0,14,142,107
1400000US42101003300,42101003300,"Census Tract 33, Philadelphia County, Pennsylvania",6121,813,2441,838,731,360,2949,707,5019,803,1941,823,570,331,2508,638,829,325,341,166,120,92,368,235,113,92,46,54,0,14,67,74,160,141,113,119,41,58,6,8
1400000US42101003600,42101003600,"Census Tract 36, Philadelphia County, Pennsylvania",6886,815,3169,794,1045,514,2672,618,5541,829,2780,764,888,503,1873,434,652,239,218,117,136,77,298,184,34,37,34,37,0,14,0,14,659,221,137,115,21,35,501,236
1400000US42101003701,42101003701,"Census Tract 37.01, Philadelphia County, Pennsylvania",6161,699,1787,651,499,260,3875,804,4450,829,1288,629,304,237,2858,719,943,404,363,246,72,89,508,281,354,196,73,92,0,14,281,158,414,206,63,61,123,121,228,144
1400000US42101003702,42101003702,"Census Tract 37.02, Philadelphia County, Pennsylvania",3945,404,747,258,635,294,2563,404,2770,357,556,241,432,187,1782,354,272,102,42,47,50,55,180,87,80,75,6,11,0,10,74,71,823,213,143,79,153,119,527,206
1400000US42101003800,42101003800,"Census Tract 38, Philadelphia County, Pennsylvania",4007,399,212,119,310,154,3485,418,3306,375,140,84,256,133,2910,408,438,144,67,68,11,18,360,128,0,10,0,10,0,10,0,10,263,110,5,9,43,44,215,91
1400000US42101003901,42101003901,"Census Tract 39.01, Philadelphia County, Pennsylvania",6065,860,1117,334,461,202,4487,801,3471,671,538,219,186,102,2747,649,1251,592,289,163,197,145,765,417,124,124,60,85,0,14,64,79,1219,313,230,127,78,76,911,294
1400000US42101003902,42101003902,"Census Tract 39.02, Philadelphia County, Pennsylvania",5626,452,409,169,183,101,5034,475,4895,425,298,137,163,94,4434,466,463,175,100,95,8,14,355,146,26,42,0,14,0,14,26,42,242,110,11,17,12,19,219,108
1400000US42101004001,42101004001,"Census Tract 40.01, Philadelphia County, Pennsylvania",4071,387,649,193,418,206,3004,359,2726,351,357,162,260,134,2109,305,613,150,121,59,90,71,402,113,114,88,19,21,0,10,95,84,618,163,152,106,68,78,398,168
1400000US42101004002,42101004002,"Census Tract 40.02, Philadelphia County, Pennsylvania",4814,467,375,266,560,301,3879,472,3917,447,344,256,395,252,3178,462,497,205,31,34,67,103,399,172,92,98,0,10,48,74,44,65,308,173,0,10,50,51,258,168
1400000US42101004101,42101004101,"Census Tract 41.01, Philadelphia County, Pennsylvania",6789,873,2649,685,1354,541,2786,591,3632,565,1194,380,795,370,1643,397,733,271,320,160,68,75,345,203,34,51,0,14,0,14,34,51,2390,650,1135,420,491,371,764,319
1400000US42101004102,42101004102,"Census Tract 41.02, Philadelphia County, Pennsylvania",9288,1020,3448,925,1512,674,4328,897,5071,879,1974,720,623,318,2474,595,887,324,310,247,124,96,453,220,139,123,29,49,0,14,110,107,3191,812,1135,461,765,455,1291,590
1400000US42101004201,42101004201,"Census Tract 42.01, Philadelphia County, Pennsylvania",5625,498,868,412,776,412,3981,404,4474,345,598,266,561,320,3315,378,665,264,103,66,130,114,432,204,109,109,20,33,0,14,89,94,377,198,147,187,85,104,145,101
1400000US42101004202,42101004202,"Census Tract 42.02, Philadelphia County, Pennsylvania",5389,476,1005,368,609,308,3775,553,3960,445,618,267,327,237,3015,517,357,128,78,59,63,63,216,90,96,106,0,14,57,94,39,54,976,471,309,258,162,125,505,290
1400000US42101005000,42101005000,"Census Tract 50, Philadelphia County, Pennsylvania",0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1400000US42101005400,42101005400,"Census Tract 54, Philadelphia County, Pennsylvania",1303,151,117,54,101,67,1085,174,784,140,70,40,40,26,674,149,287,98,47,39,31,29,209,93,6,11,0,10,0,10,6,11,226,102,0,10,30,48,196,75
1400000US42101005500,42101005500,"Census Tract 55, Philadelphia County, Pennsylvania",6319,846,1275,753,319,232,4725,786,3882,619,686,364,81,62,3115,611,1032,357,240,253,152,178,640,200,131,126,48,58,0,14,83,111,1274,552,301,283,86,122,887,420
1400000US42101005600,42101005600,"Census Tract 56, Philadelphia County, Pennsylvania",991,172,384,168,128,85,479,166,779,174,329,157,110,75,340,152,151,54,55,38,18,21,78,45,16,24,0,10,0,10,16,24,45,38,0,10,0,10,45,38
1400000US42101006000,42101006000,"Census Tract 60, Philadelphia County, Pennsylvania",6055,584,1601,579,692,693,3762,730,4379,688,1128,477,676,692,2575,680,553,258,192,118,16,26,345,231,10,17,0,14,0,14,10,17,1113,413,281,186,0,14,832,376
1400000US42101006100,42101006100,"Census Tract 61, Philadelphia County, Pennsylvania",3366,346,807,278,519,262,2040,318,2108,294,404,141,309,136,1395,290,309,126,69,71,38,34,202,94,51,43,1,2,17,19,33,38,898,236,333,185,155,143,410,208
1400000US42101006200,42101006200,"Census Tract 62, Philadelphia County, Pennsylvania",4882,570,1295,470,718,310,2869,562,3830,478,1026,398,440,221,2364,510,303,135,108,94,41,29,154,105,13,22,0,10,0,10,13,22,736,338,161,183,237,196,338,217
1400000US42101006300,42101006300,"Census Tract 63, Philadelphia County, Pennsylvania",4008,531,1736,437,438,229,1834,415,2383,455,1064,335,237,143,1082,288,487,257,239,199,32,37,216,168,25,40,0,10,0,10,25,40,1113,356,433,212,169,139,511,273
1400000US42101006400,42101006400,"Census Tract 64, Philadelphia County, Pennsylvania",3443,498,1080,397,343,172,2020,411,2430,513,784,355,259,160,1387,367,444,174,63,52,24,28,357,172,26,20,12,19,0,10,14,16,543,141,221,120,60,45,262,110
1400000US42101006500,42101006500,"Census Tract 65, Philadelphia County, Pennsylvania",4084,366,1315,360,489,188,2280,444,2993,317,1014,310,400,177,1579,300,597,174,75,43,89,42,433,172,18,29,0,10,0,10,18,29,476,180,226,138,0,10,250,161
1400000US42101006600,42101006600,"Census Tract 66, Philadelphia County, Pennsylvania",3450,510,1417,400,547,238,1486,489,2066,406,794,325,314,192,958,282,764,309,273,151,92,51,399,281,54,84,0,10,54,84,0,10,566,206,350,168,87,64,129,91
1400000US42101006700,42101006700,"Census Tract 67, Philadelphia County, Pennsylvania",6762,921,2323,621,863,590,3576,850,4537,840,1632,503,550,497,2355,707,673,230,250,162,172,115,251,147,32,50,0,14,0,14,32,50,1520,498,441,231,141,140,938,445
1400000US42101006900,42101006900,"Census Tract 69, Philadelphia County, Pennsylvania",2321,401,1239,348,280,146,802,244,1877,368,1135,344,185,134,557,201,320,121,47,29,95,65,178,98,27,44,0,10,0,10,27,44,97,108,57,98,0,10,40,40
1400000US42101007000,42101007000,"Census Tract 70, Philadelphia County, Pennsylvania",3528,510,1275,461,774,342,1479,310,2810,482,994,409,657,318,1159,316,509,129,215,91,46,27,248,76,37,47,10,15,0,10,27,44,172,98,56,54,71,71,45,51
1400000US42101007101,42101007101,"Census Tract 71.01, Philadelphia County, Pennsylvania",2508,369,860,252,648,266,1000,226,1711,314,607,234,516,238,588,156,368,161,122,73,65,76,181,94,38,43,5,9,0,10,33,43,391,165,126,86,67,54,198,118
1400000US42101007102,42101007102,"Census Tract 71.02, Philadelphia County, Pennsylvania",4804,601,2116,601,701,300,1987,445,3574,593,1888,567,484,222,1202,368,753,237,180,82,217,171,356,160,41,63,0,10,0,10,41,63,436,293,48,50,0,10,388,287
1400000US42101007200,42101007200,"Census Tract 72, Philadelphia County, Pennsylvania",4253,546,1454,481,423,159,2376,494,3005,538,1200,429,322,137,1483,417,745,166,196,102,92,63,457,134,28,52,2,6,0,10,26,51,475,320,56,60,9,15,410,312
1400000US42101007300,42101007300,"Census Tract 73, Philadelphia County, Pennsylvania",2424,292,753,263,235,157,1436,267,1837,294,596,280,126,106,1115,251,449,151,111,78,109,99,229,107,0,10,0,10,0,10,0,10,138,88,46,61,0,10,92,61
1400000US42101007400,42101007400,"Census Tract 74, Philadelphia County, Pennsylvania",4467,576,1754,470,643,303,2070,503,3693,602,1557,465,561,310,1575,479,669,184,175,81,76,53,418,157,8,12,8,12,0,10,0,10,97,69,14,21,6,10,77,67
1400000US42101007700,42101007700,"Census Tract 77, Philadelphia County, Pennsylvania",1504,206,738,168,124,57,642,138,654,160,286,123,88,50,280,88,517,116,285,92,25,20,207,68,13,20,13,20,0,10,0,10,320,85,154,66,11,17,155,53
1400000US42101007800,42101007800,"Census Tract 78, Philadelphia County, Pennsylvania",4088,435,809,256,502,269,2777,304,1831,365,367,192,243,210,1221,232,1502,242,255,100,194,123,1053,255,82,111,4,9,0,10,78,110,673,198,183,94,65,77,425,152
1400000US42101007900,42101007900,"Census Tract 79, Philadelphia County, Pennsylvania",4762,617,547,260,422,227,3793,611,2668,419,262,196,320,205,2086,356,1589,447,208,113,23,25,1358,421,60,48,0,10,9,14,51,47,445,196,77,111,70,70,298,142
1400000US42101008000,42101008000,"Census Tract 80, Philadelphia County, Pennsylvania",3669,512,1192,359,410,213,2067,368,2694,467,808,301,303,197,1583,312,798,221,297,144,107,70,394,132,38,40,13,18,0,10,25,35,139,83,74,77,0,10,65,48
1400000US42101008101,42101008101,"Census Tract 81.01, Philadelphia County, Pennsylvania",2632,421,1158,459,263,237,1211,363,2155,354,1036,435,214,200,905,284,296,127,90,83,49,46,157,94,0,10,0,10,0,10,0,10,181,162,32,52,0,10,149,154
1400000US42101008102,42101008102,"Census Tract 81.02, Philadelphia County, Pennsylvania",5432,559,1909,644,865,437,2658,385,4334,540,1663,581,697,425,1974,347,876,222,232,118,114,82,530,166,24,27,0,14,24,27,0,14,198,116,14,19,30,47,154,104
1400000US42101008200,42101008200,"Census Tract 82, Philadelphia County, Pennsylvania",6896,958,1831,736,875,569,4190,990,5092,762,1455,636,497,423,3140,786,1285,376,315,239,182,145,788,307,0,14,0,14,0,14,0,14,519,399,61,85,196,261,262,285
1400000US42101008301,42101008301,"Census Tract 83.01, Philadelphia County, Pennsylvania",4281,461,884,241,801,396,2596,437,3369,414,647,233,675,329,2047,396,701,160,126,67,126,96,449,125,17,23,0,10,0,10,17,23,194,124,111,100,0,10,83,72
1400000US42101008302,42101008302,"Census Tract 83.02, Philadelphia County, Pennsylvania",4470,487,1486,474,568,233,2416,399,3381,463,1228,412,227,143,1926,385,752,227,194,113,260,147,298,123,40,48,0,10,29,45,11,17,297,213,64,81,52,59,181,184
1400000US42101008400,42101008400,"Census Tract 84, Philadelphia County, Pennsylvania",4843,673,1979,595,514,331,2350,405,3891,648,1629,551,342,245,1920,379,841,219,275,136,172,157,394,118,60,65,33,52,0,10,27,40,51,41,42,39,0,10,9,13
1400000US42101008500,42101008500,"Census Tract 85, Philadelphia County, Pennsylvania",7296,745,2698,791,1237,482,3361,616,5907,732,2198,711,1090,419,2619,570,1050,222,429,172,86,79,535,147,22,33,0,14,0,14,22,33,317,207,71,81,61,95,185,175
1400000US42101008601,42101008601,"Census Tract 86.01, Philadelphia County, Pennsylvania",2863,274,584,192,297,147,1982,297,1403,234,354,156,262,151,787,230,1143,223,217,104,31,26,895,205,10,15,0,10,0,10,10,15,307,169,13,14,4,8,290,166
1400000US42101008602,42101008602,"Census Tract 86.02, Philadelphia County, Pennsylvania",2840,744,1105,514,170,105,1565,580,1933,541,627,315,53,45,1253,552,455,154,89,58,117,95,249,137,0,10,0,10,0,10,0,10,452,384,389,409,0,10,63,75
1400000US42101008701,42101008701,"Census Tract 87.01, Philadelphia County, Pennsylvania",5233,787,1926,624,553,327,2754,587,1715,475,471,270,176,124,1068,432,2166,540,855,380,200,175,1111,272,17,28,0,14,0,14,17,28,1335,318,600,271,177,191,558,220
1400000US42101008702,42101008702,"Census Tract 87.02, Philadelphia County, Pennsylvania",3201,617,1354,556,160,100,1687,279,812,351,373,308,11,17,428,158,1340,332,615,273,95,82,630,149,35,31,0,10,11,16,24,22,1014,232,366,149,43,50,605,162
1400000US42101008801,42101008801,"Census Tract 88.01, Philadelphia County, Pennsylvania",379,121,238,106,26,23,115,80,135,77,50,34,18,21,67,61,128,74,95,72,8,9,25,21,41,49,22,37,0,10,19,31,75,27,71,30,0,10,4,6
1400000US42101008802,42101008802,"Census Tract 88.02, Philadelphia County, Pennsylvania",4126,735,3068,728,245,108,813,196,844,252,500,205,134,80,210,112,2232,646,1943,657,54,38,235,106,5,8,5,8,0,14,0,14,1045,241,620,200,57,59,368,139
1400000US42101009000,42101009000,"Census Tract 90, Philadelphia County, Pennsylvania",2768,354,1787,323,216,137,765,182,904,235,545,195,79,53,280,118,1275,251,826,236,109,92,340,87,19,19,11,14,0,14,8,12,570,216,405,189,28,22,137,76
1400000US42101009100,42101009100,"Census Tract 91, Philadelphia County, Pennsylvania",2866,399,1527,462,167,85,1172,332,1375,295,794,395,87,61,494,230,905,249,403,200,44,57,458,147,7,12,0,10,0,10,7,12,579,224,330,170,36,33,213,124
1400000US42101009200,42101009200,"Census Tract 92, Philadelphia County, Pennsylvania",3389,387,1662,449,341,180,1386,330,2217,348,1061,389,204,154,952,266,693,228,345,173,87,85,261,121,21,35,21,35,0,10,0,10,458,193,235,140,50,42,173,137
1400000US42101009300,42101009300,"Census Tract 93, Philadelphia County, Pennsylvania",4215,561,1089,386,499,275,2627,557,3489,585,951,382,206,110,2332,543,478,149,123,66,110,81,245,128,15,23,15,23,0,10,0,10,233,226,0,10,183,230,50,60
1400000US42101009400,42101009400,"Census Tract 94, Philadelphia County, Pennsylvania",4270,396,1910,411,725,274,1635,391,3349,382,1471,352,560,258,1318,345,811,227,406,173,156,96,249,118,37,56,0,10,0,10,37,56,73,60,33,33,9,15,31,46
1400000US42101009500,42101009500,"Census Tract 95, Philadelphia County, Pennsylvania",3229,559,1394,464,447,321,1388,440,2371,535,990,448,368,315,1013,332,726,197,289,156,79,49,358,173,0,10,0,10,0,10,0,10,132,116,115,115,0,10,17,24
1400000US42101009600,42101009600,"Census Tract 96, Philadelphia County, Pennsylvania",4202,555,1249,383,1006,354,1947,468,3261,502,922,306,788,329,1551,416,694,192,239,151,138,76,317,122,0,10,0,10,0,10,0,10,247,125,88,78,80,77,79,67
